LOC_keywords,文本 2,分类,分类 2,pollution,文本 4,area,文本 5
Adriatic,506,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Kew Gardens,577,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Glasgow,599,欧洲,无匹配类别,无匹配标签,英国,Europe,
the Lena River,600,亚洲,无匹配类别,无匹配标签,"""无匹配标签""",Europe,
Louvre,609,欧洲,无匹配类别,无匹配标签,France,Europe,
the Baltic Sea,614,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
the Rhine River,624,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
the Vjosa River,672,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Europe,
the Black Sea,738,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Europe,
Central London,784,欧洲,发达国家,无匹配标签,England,Europe,
Bergen,812,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
Ahr River,835,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Europe,
Ahr,836,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Europe,
the Ahr river,840,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Europe,
the Meuse River,847,欧洲,无匹配类别,无匹配标签,无匹配标签,Europe,
the British Isles,911,欧洲,发达国家,无匹配标签,无匹配标签,Europe,
the Omsk Region of Siberia,927,亚洲,发展中国家,无匹配标签,Russia,Europe,
South London,931,欧洲,无匹配类别,无匹配标签,England,Europe,
Northern Siberia,952,亚洲,无匹配类别,Most Vulnerable to Climate Change,,Europe,
Southern France,954,欧洲,发达国家,Climate Policy Leaders,,Europe,
the Ebro River,1030,欧洲,无匹配类别,无匹配标签,,Europe,
the Faroe Islands,1043,欧洲,无匹配类别,无匹配标签,,Europe,
Central Siberia,1080,亚洲,无匹配类别,无匹配标签,,Europe,
the Mayflower Marina,1087,无匹配类别,无匹配类别,无匹配标签,,Europe,
Central and Western Europe,1094,欧洲,无匹配类别,无匹配标签,,Europe,
the Irish Sea,1111,欧洲,无匹配类别,无匹配标签,,Europe,
Baltics,1125,欧洲,无匹配类别,无匹配标签,,Europe,
Eastern Mediterranean,1158,中东,无匹配类别,无匹配标签,,Europe,
Loire River,1166,欧洲,无匹配类别,无匹配标签,,Europe,
Hvalur,1170,无匹配类别,无匹配类别,无匹配标签,,Europe,
the Caucasus Mountains,1204,欧洲,无匹配类别,无匹配标签,,Europe,
Arctic Drilling Fight:,1220,无匹配类别,无匹配类别,无匹配标签,,Europe,
Christian Europe,1223,欧洲,无匹配类别,无匹配标签,,Europe,
RecordWhile Europe,1295,欧洲,无匹配类别,无匹配标签,,Europe,
Horizon Europe,1296,欧洲,无匹配类别,无匹配标签,,Europe,
Oromia,11,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
Africa,16,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
Death valley,44,北美,无匹配类别,无匹配标签,无匹配标签,Africa,
New Orleans East,49,北美,无匹配类别,无匹配标签,America,Africa,
Cape Town South Africa,72,非洲,发展中国家,无匹配标签,South Africa,Africa,
Africa ,74,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
South Africas Durban,143,非洲,发展中国家,无匹配标签,South Africa,Africa,
the Sahara Desert,152,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
Sahara,163,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
South Africas,166,非洲,发展中国家,无匹配标签,无匹配标签,Africa,
Nile River,195,非洲,埃及属于发展中国家，尼罗河主要流经埃及等国家，所以这里分类为发展中国家,无匹配标签,Egypt,Africa,
Lake Turkana,199,非洲,无匹配类别,无匹配标签,肯尼亚,Africa,
West Africas,217,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
Northern Rhodesia,311,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
Amboseli National Park,339,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
Mount Kilimanjaro,340,非洲,无匹配类别,无匹配标签,Tanzania,Africa,
North Safaris,341,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Africa,
the Masai Mara,458,非洲,发展中国家,无匹配标签,无匹配标签,Africa,
Rift Valley,460,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
the Wild Coast,475,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
the Wild Coast of South Africa,476,非洲,发展中国家,无匹配标签,South Africa,Africa,
Wild Coast,477,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
the Horn of Africa,546,非洲,最不发达国家,Most Vulnerable to Climate Change,无匹配标签,Africa,
Congo Basin,556,非洲,最不发达国家,无匹配标签,刚果,Africa,
the Congo River,557,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
Durban,580,非洲,发展中国家,无匹配标签,South Africa,Africa,
South Africa,581,非洲,发展中国家,无匹配标签,South Africa,Africa,
Nkok,602,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Africa,
the Congo Basin,648,非洲,发展中国家,无匹配标签,无匹配标签,Africa,
Niger Delta,701,非洲,发展中国家,无匹配标签,无匹配标签,Africa,
the Niger Delta,705,非洲,发展中国家,无匹配标签,Nigeria,Africa,
Cape Town,741,非洲,发展中国家,无匹配标签,South Africa,Africa,
Table Mountain,747,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
Congo River,775,非洲,最不发达国家,无匹配标签,无匹配标签,Africa,
the Mandrare River,776,非洲,无匹配类别,无匹配标签,无匹配标签,Africa,
Cameroon,779,非洲,发展中国家,无匹配标签,无匹配标签,Africa,
Southern Africa,883,非洲,发展中国家,Most Vulnerable to Climate Change,无匹配标签,Africa,
Nile,903,非洲,发展中国家,无匹配标签,无匹配标签,Africa,
South Sudan,922,非洲,最不发达国家,Most Vulnerable to Climate Change,无匹配标签,Africa,
Ivory Coast,943,非洲,发展中国家,无匹配标签,,Africa,
The Nairobi River,969,非洲,无匹配类别,无匹配标签,,Africa,
the Table Mountain,1015,非洲,无匹配类别,无匹配标签,,Africa,
the Msimbazi River,1106,非洲,无匹配类别,无匹配标签,,Africa,
Mount Kenya,1117,非洲,无匹配类别,无匹配标签,,Africa,
Chisi Island,1153,无匹配类别,无匹配类别,无匹配标签,,Africa,
Lake Chilwa,1154,非洲,无匹配类别,无匹配标签,,Africa,
Lake Geneva,1219,欧洲,无匹配类别,无匹配标签,,Africa,
Hoima,1243,非洲,发展中国家,无匹配标签,,Africa,
Africa*,1275,非洲,发展中国家,无匹配标签,,Africa,
the Caribbean Sea,118,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Caribbean,
Caribbean,140,中美洲,无匹配类别,Most Vulnerable to Climate Change,无匹配标签,Caribbean,
Caribbean Sea,180,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Caribbean,
EuropeNorth America,181,欧洲,无匹配类别,无匹配标签,无匹配标签,Caribbean,
Bridgetown,589,无匹配类别,发展中国家,无匹配标签,Barbados,Caribbean,
Caribbean island,791,中美洲,无匹配类别,Most Vulnerable to Climate Change,无匹配标签,Caribbean,
Leeward Islands,1079,大西洋,无匹配类别,Most Vulnerable to Climate Change,,Caribbean,
Southern India,9,南亚,发展中国家,Top CO2 Emitters,India,South Asia,
the Indus River Basin,21,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
Kashmir,278,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
South Asia’s,279,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
Kalpitiya,331,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
Indus Valley,402,南亚,发展中国家,无匹配标签,无匹配标签,South Asia,
Jacobabad,403,南亚,发展中国家,无匹配标签,无匹配标签,South Asia,
Hasdeo Aranya,478,无匹配类别,无匹配类别,无匹配标签,无匹配标签,South Asia,
Himalayas,487,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
the Ganges River,572,南亚,发展中国家,无匹配标签,India,South Asia,
the Indus River,633,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
Indus River Basin,634,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
the Swat River,650,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
the Bay of Bengal,679,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
Northwestern India,699,南亚,发展中国家,无匹配标签,India,South Asia,
Southeastern Pakistan,700,南亚,发展中国家,无匹配标签,Pakistan,South Asia,
Bhutan,796,南亚,发展中国家,无匹配标签,无匹配标签,South Asia,
Gilgit-Baltistan,894,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
Indus River,895,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
the Rishiganga River,920,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
the Dhauliganga River,921,南亚,无匹配类别,无匹配标签,无匹配标签,South Asia,
Brahmaputra River,977,南亚,无匹配类别,无匹配标签,,South Asia,
Brahmaputra,978,南亚,无匹配类别,无匹配标签,,South Asia,
Yamuna River,1053,南亚,无匹配类别,无匹配标签,,South Asia,
Ganges River,1165,南亚,无匹配类别,无匹配标签,,South Asia,
the Adi Ganga,1173,南亚,无匹配类别,无匹配标签,,South Asia,
Western Tripura,1267,南亚,发展中国家,无匹配标签,,South Asia,
South Americas,53,南美,无匹配类别,无匹配标签,无匹配标签,Antarctica,
East Antarctica,76,南极,无匹配类别,无匹配标签,无匹配标签,Antarctica,
Antarctic,77,南极洲,无匹配类别,无匹配标签,无匹配标签,Antarctica,
the Antarctic Peninsula,78,南极,无匹配类别,无匹配标签,无匹配标签,Antarctica,
Antarcticas,79,南极,无匹配类别,无匹配标签,无匹配标签,Antarctica,
West Antarctica,80,南极洲,无匹配类别,无匹配标签,无匹配标签,Antarctica,
the Permian Basin,81,北美,无匹配类别,无匹配标签,无匹配标签,Antarctica,
the Weddell Sea,83,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Antarctica,
Antarctic sea,85,南极,无匹配类别,无匹配标签,无匹配标签,Antarctica,Antarctica
Atlantic Ocean,104,大西洋,无匹配类别,无匹配标签,无匹配标签,Antarctica,
the Amundsen Sea,164,南极,无匹配类别,无匹配标签,无匹配标签,Antarctica,
Far South,250,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Antarctica,
the Southern Ocean,285,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Antarctica,
the South Pole,537,南极,无匹配类别,无匹配标签,无匹配标签,Antarctica,
West Antarctic,638,南极,无匹配类别,无匹配标签,无匹配标签,Antarctica,
Paulet Island,719,南极洲,无匹配类别,无匹配标签,无匹配标签,Antarctica,
Antarctic Peninsula,720,南极,无匹配类别,无匹配标签,无匹配标签,Antarctica,
the Ross Sea,724,南极,无匹配类别,无匹配标签,无匹配标签,Antarctica,
the Antarctic Sound,725,南极,无匹配类别,无匹配标签,无匹配标签,Antarctica,
Weddell Sea,726,南极,无匹配类别,无匹配标签,无匹配标签,Antarctica,
the South Shetland Islands,743,南极洲,无匹配类别,无匹配标签,无匹配标签,Antarctica,
the Agulhas II,755,非洲,无匹配类别,无匹配标签,无匹配标签,Antarctica,
The South Pole,993,南极,无匹配类别,无匹配标签,,Antarctica,
the Antarctic Plateau,995,南极,无匹配类别,无匹配标签,,Antarctica,
Devil Island,1026,无匹配类别,无匹配类别,无匹配标签,,Antarctica,
The Antarctic Peninsula,1027,南极,无匹配类别,无匹配标签,,Antarctica,
Hut Point Peninsula,1150,南极,无匹配类别,无匹配标签,,Antarctica,
the Danger Islands,1152,南极洲,无匹配类别,无匹配标签,,Antarctica,
East Antarctic,1179,南极,无匹配类别,无匹配标签,,Antarctica,
West Antarctica’s,1238,南极,无匹配类别,无匹配标签,,Antarctica,
South Pole,1244,南极,无匹配类别,无匹配标签,,Antarctica,
Atlantic,5,大西洋,无匹配类别,无匹配标签,无匹配标签,Atlantic,
the Atlantic Ocean,20,大西洋,无匹配类别,无匹配标签,无匹配标签,Atlantic,
the North Atlantic,103,大西洋,无匹配类别,无匹配标签,无匹配标签,Atlantic,
Oceania,75,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
Galpagos Islands,126,南美,无匹配类别,无匹配标签,Ecuador,Oceania,
Baltra Island,127,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Oceania,
New South Wales,187,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
Runion Island,206,非洲,发展中国家,无匹配标签,无匹配标签,Oceania,
Ata Island,212,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
the Galpagos Islands,232,南美,无匹配类别,无匹配标签,无匹配标签,Oceania,
Lizard Island,258,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
the Coral Sea,259,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
Maui,261,北美,无匹配类别,无匹配标签,无匹配标签,Oceania,
Heron Island,262,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
East Cape,417,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
Mount Stromlo,431,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Oceania,
the Cook Islands,465,大洋洲,发展中国家,无匹配标签,无匹配标签,Oceania,
Mid North Coast,543,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Oceania,
the South Pacific,566,太平洋,无匹配类别,Most Vulnerable to Climate Change,无匹配标签,Oceania,
Pacific Island,567,大洋洲,无匹配类别,Most Vulnerable to Climate Change,无匹配标签,Oceania,
Pacific island,568,大洋洲,无匹配类别,Most Vulnerable to Climate Change,无匹配标签,Oceania,
the Northern Territory,623,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
Carlton Gardens,722,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Oceania,
the Pacific island,732,大洋洲,无匹配类别,Most Vulnerable to Climate Change,无匹配标签,Oceania,
the Big Island,735,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
the Blue Mountain World Heritage Site,740,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Oceania,
the Solomon Islands,792,大洋洲,最不发达国家,Most Vulnerable to Climate Change,无匹配标签,Oceania,
South Pacific,793,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
the Bowen Basin,795,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
the Kauai O’o,813,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
Molokai,814,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
Ejit Island,839,太平洋,无匹配类别,无匹配标签,无匹配标签,Oceania,
Levu Island,900,大洋洲,无匹配类别,无匹配标签,无匹配标签,Oceania,
Pacific islands,1077,大洋洲,无匹配类别,Most Vulnerable to Climate Change,,Oceania,
the Galilee Basin,1086,大洋洲,无匹配类别,无匹配标签,,Oceania,
Galilee Basin,1097,无匹配类别,无匹配类别,无匹配标签,,Oceania,
Home Island,1103,大洋洲,无匹配类别,无匹配标签,,Oceania,
West Island,1104,大洋洲,无匹配类别,无匹配标签,,Oceania,
South Island,1105,大洋洲,无匹配类别,无匹配标签,,Oceania,
Wagga Wagga,1114,东亚,无匹配类别,无匹配标签,,Oceania,
the North Curl Curl Surf Life Saving Club,1115,无匹配类别,无匹配类别,无匹配标签,,Oceania,
Kaneohe Bay,1140,大洋洲,无匹配类别,无匹配标签,,Oceania,
South Tarawa,1200,大洋洲,最不发达国家,Most Vulnerable to Climate Change,,Oceania,
Mount Agung,1202,亚洲,无匹配类别,无匹配标签,,Oceania,
Isle of the Dead,1252,无匹配类别,无匹配类别,无匹配标签,,Oceania,
Latin America,29,无匹配类别,无匹配类别,无匹配标签,Latin America,South America,
premises,51,南美,无匹配类别,无匹配标签,无匹配标签,South America,
South America,52,南美,无匹配类别,无匹配标签,无匹配标签,South America,
Natural Yards Now,56,南美,无匹配类别,无匹配标签,无匹配标签,South America,
South Americas Amazon,154,南美,无匹配类别,无匹配标签,South Americas,South America,
Andes,219,南美,无匹配类别,无匹配标签,无匹配标签,South America,
The Doce River,243,南美,无匹配类别,无匹配标签,无匹配标签,South America,
the Cerrado savanna,306,南美,无匹配类别,无匹配标签,无匹配标签,South America,
the Chilean Andes,432,南美,发展中国家,无匹配标签,Chile,South America,
Gemini South,433,无匹配类别,无匹配类别,无匹配标签,无匹配标签,South America,
the Guaiba River,445,南美,无匹配类别,无匹配标签,无匹配标签,South America,
Cochamó Valley,468,无匹配类别,无匹配类别,无匹配标签,无匹配标签,South America,
the Andes Mountains,469,南美,无匹配类别,无匹配标签,无匹配标签,South America,
the Cochamó Valley,470,南美,无匹配类别,无匹配标签,无匹配标签,South America,
South Andean,471,南美,无匹配类别,无匹配标签,无匹配标签,South America,
The Cochamó Valley,472,无匹配类别,无匹配类别,无匹配标签,无匹配标签,South America,
Antofagasta,524,南美,发展中国家,无匹配标签,Chile,South America,
the Galápagos Islands,531,南美,无匹配类别,无匹配标签,无匹配标签,South America,
Latin America’s,586,南美,无匹配类别,无匹配标签,无匹配标签,South America,
Easter Island,622,大洋洲,无匹配类别,无匹配标签,无匹配标签,South America,
Javari Valley Indigenous,626,南美,无匹配类别,无匹配标签,无匹配标签,South America,
the Atacama Desert,651,南美,无匹配类别,无匹配标签,Chile,South America,
Southern Chile,658,南美,发展中国家,无匹配标签,Chile,South America,
Galápagos,683,南美,发展中国家,无匹配标签,无匹配标签,South America,
South Georgia,717,无匹配类别,无匹配类别,无匹配标签,无匹配标签,South America,
the Aguarico River,754,南美,无匹配类别,无匹配标签,无匹配标签,South America,
South America’s,760,南美,无匹配类别,无匹配标签,无匹配标签,South America,
Galápagos archipelago,901,南美,发展中国家,无匹配标签,无匹配标签,South America,
the Paraná River,963,南美,无匹配类别,无匹配标签,,South America,
the Paraná Delta,964,南美,发展中国家,无匹配标签,,South America,
Southeastern Brazil,967,南美,发展中国家,无匹配标签,,South America,
East Asia,26,东亚,无匹配类别,无匹配标签,无匹配标签,East Asia,
the Sea of Japan,27,东亚,无匹配类别,无匹配标签,Japan,East Asia,
Chinas Yangtze River,34,东亚,发展中国家,无匹配标签,China,East Asia,
North Koreas,116,东亚,无匹配类别,无匹配标签,无匹配标签,East Asia,East Asia
Wuhan China,133,东亚,发展中国家,Top CO2 Emitters,China,East Asia,
East Asiaparticularly eastern,168,东亚,无匹配类别,无匹配标签,无匹配标签,East Asia,
Yangtze River,215,东亚,无匹配类别,无匹配标签,China,East Asia,
Chinas NDC,216,东亚,发展中国家,无匹配标签,无匹配标签,East Asia,
the Korean Peninsula,230,东亚,发展中国家,无匹配标签,Korea,East Asia,
South China,375,东亚,发展中国家,无匹配标签,China,East Asia,
the South China,376,东亚,发展中国家,无匹配标签,China,East Asia,
Eastern China,538,东亚,发展中国家,Top CO2 Emitters,China,East Asia,
the Yangtze River,590,东亚,无匹配类别,无匹配标签,China,East Asia,
Jialing River,652,东亚,无匹配类别,无匹配标签,"【""无匹配标签""】",East Asia,
Yangtze,653,东亚,无匹配类别,无匹配标签,无匹配标签,East Asia,
Far East,655,东亚,无匹配类别,无匹配标签,无匹配标签,East Asia,
Sakhalin,733,东亚,无匹配类别,无匹配标签,Russia,East Asia,
Sakhalin Island,799,东亚,无匹配类别,无匹配标签,无匹配标签,East Asia,
Okhotsky Bay,805,东亚,无匹配类别,无匹配标签,无匹配标签,East Asia,
Inner Mongolia,811,东亚,无匹配类别,无匹配标签,无匹配标签,East Asia,
Sakha,816,无匹配类别,无匹配类别,无匹配标签,无匹配标签,East Asia,
Shibuya,842,东亚,无匹配类别,无匹配标签,Japan,East Asia,
Mentougou District,896,东亚,无匹配类别,无匹配标签,无匹配标签,East Asia,
Fukushima Daiichi,906,东亚,发展中国家,无匹配标签,Japan,East Asia,
the South China Sea,1116,东亚,无匹配类别,无匹配标签,,East Asia,
west Japan,1168,东亚,发达国家,无匹配标签,,East Asia,
the Metropolitan Area Outer Underground Discharge Channel,1232,无匹配类别,无匹配类别,无匹配标签,,East Asia,
Southeast Asia,13,东南亚,发展中国家,无匹配标签,无匹配标签,Southeast Asia,
Mati,254,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Southeast Asia,
Mount Pinatubo,271,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Southeast Asia,
Cardamom Mountains,292,东南亚,无匹配类别,无匹配标签,无匹配标签,Southeast Asia,
the Cardamom Mountains,293,东南亚,无匹配类别,无匹配标签,无匹配标签,Southeast Asia,
the Mekong River,560,东南亚,发展中国家,无匹配标签,无匹配标签,Southeast Asia,
Luzon,676,东南亚,发展中国家,无匹配标签,无匹配标签,Southeast Asia,
Mount Tambora,731,亚洲,无匹配类别,无匹配标签,无匹配标签,Southeast Asia,
West Sumatra,1061,东南亚,发展中国家,无匹配标签,,Southeast Asia,
Pakan Rabaa,1062,无匹配类别,无匹配类别,无匹配标签,,Southeast Asia,
Mekong Delta,1159,东南亚,发展中国家,无匹配标签,,Southeast Asia,
the Strait of Malacca,1178,东南亚,无匹配类别,无匹配标签,,Southeast Asia,
Pacific Ocean,6,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
Pacific,39,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
Central America,46,中美洲,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
Southern Ocean,86,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
the Pacific Ocean,117,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
eastern Pacific Ocean,141,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
Pacific Plate,151,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
the North Pacific Ocean,196,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
the North Pacific,197,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
the Pacific Ring,211,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
Northern Pacific,569,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
the Pacific Ocean’s,677,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
the Western North Pacific,704,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
Northeast Pacific,824,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
the Northwest Pacific,825,太平洋,无匹配类别,无匹配标签,无匹配标签,Pacific Ocean,
the Asia-Pacific,997,亚太地区,无匹配类别,无匹配标签,,Pacific Ocean,
the Northeast Pacific Ocean,1163,太平洋,无匹配类别,无匹配标签,,Pacific Ocean,
the Pacific Rim,1206,太平洋,无匹配类别,无匹配标签,,Pacific Ocean,
Earth’s Future,1217,无匹配类别,无匹配类别,无匹配标签,,Pacific Ocean,
the Global South,28,无匹配类别,发展中国家,无匹配标签,无匹配标签,Global South,
East Africas,45,非洲,最不发达国家,无匹配标签,无匹配标签,Central America,
Central America’s,585,中美洲,无匹配类别,无匹配标签,无匹配标签,Central America,
Barro Colorado Island,973,中美,无匹配类别,无匹配标签,,Central America,
Lake Alajuela,1102,无匹配类别,无匹配类别,无匹配标签,,Central America,
the Belizean coast,1189,中美洲,发展中国家,无匹配标签,,Central America,
Indian Ocean,105,印度洋,无匹配类别,无匹配标签,无匹配标签,Indian Ocean,
Northern Indian,169,南亚,发展中国家,无匹配标签,India,Indian Ocean,
Cyclone Hyacinthe,205,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Indian Ocean,
the Indian Ocean Dipole,288,印度洋,无匹配类别,无匹配标签,无匹配标签,Indian Ocean,
the Indian Ocean,348,印度洋,无匹配类别,无匹配标签,无匹配标签,Indian Ocean,
the Indian Ocean Islands,1273,印度洋,无匹配类别,无匹配标签,,Indian Ocean,
Arctic sea,132,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic Ocean,
Arctic Ocean,173,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic Ocean,
the Chukchi Sea,185,北极地区,无匹配类别,无匹配标签,无匹配标签,Arctic Ocean,
the Arctic Ocean,552,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic Ocean,
the Bering Sea,596,北美,无匹配类别,无匹配标签,America,Arctic Ocean,
the Barents Sea,656,欧洲,无匹配类别,无匹配标签,无匹配标签,Arctic Ocean,
the Arctic Ocean’s Beaufort,682,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic Ocean,
Beaufort Sea,685,北美,无匹配类别,无匹配标签,无匹配标签,Arctic Ocean,
the Kara Sea,742,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic Ocean,
the Beaufort Sea,815,北美,无匹配类别,无匹配标签,无匹配标签,Arctic Ocean,
the Wandel Sea,856,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Arctic Ocean,
the Olga Strait,982,无匹配类别,无匹配类别,无匹配标签,,Arctic Ocean,
Southern Beaufort Sea,983,北美,无匹配类别,无匹配标签,,Arctic Ocean,
the Fram Strait,1028,北极,无匹配类别,无匹配标签,,Arctic Ocean,
the Laptev Sea,1044,无匹配类别,无匹配类别,无匹配标签,,Arctic Ocean,
Laptev Sea,1065,无匹配类别,无匹配类别,无匹配标签,,Arctic Ocean,
the North Aleutian Basin,1209,北美,无匹配类别,无匹配标签,,Arctic Ocean,
Barents Sea,1248,欧洲,无匹配类别,无匹配标签,,Arctic Ocean,
The Arctic Ocean,1261,无匹配类别,无匹配类别,无匹配标签,,Arctic Ocean,
Middle Eastern,121,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
Middle East,183,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
the Middle East,229,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
the Persian Gulf,253,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
the Caspian Sea,269,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Middle East,
Mina,315,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Middle East,
the Arabian Sea,332,南亚,无匹配类别,无匹配标签,无匹配标签,Middle East,
the Middle East Institute,349,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
the Red Sea,350,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
Gulf States,351,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
Arabian Peninsula,360,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
Mount Arafat,363,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
the Near East,462,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
The Red Sea’s Coral Reefs Defy the Climate-Change Odds Nov,576,无匹配类别,无匹配类别,无匹配标签,无匹配标签,Middle East,
Red Sea,579,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
the Green Zone,592,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
the Sinai Peninsula,593,中东,发展中国家,无匹配标签,Egypt,Middle East,
Arabian Sea,680,南亚,无匹配类别,无匹配标签,无匹配标签,Middle East,
the Gulf States,818,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
Hassakeh Province,834,中东,无匹配类别,无匹配标签,无匹配标签,Middle East,
Kaust,1059,中东,无匹配类别,无匹配标签,,Middle East,
the Sea of Galilee,1193,中东,无匹配类别,无匹配标签,,Middle East,
Lake Urmia,1210,中东,无匹配类别,无匹配标签,,Middle East,
the Bekka Valley,1229,中东,无匹配类别,无匹配标签,,Middle East,
The Middle East:** Natural,1289,中东,无匹配类别,无匹配标签,,Middle East,
Mars,18,地球以外,无匹配类别,无匹配标签,无匹配标签,space,
Venus,19,地球以外,无匹配类别,无匹配标签,无匹配标签,space,
,1,,,,,,
